start_timestamp,end_timestamp,text
00:08:52,00:09:03," Then, after that it's like like I thought i'd write, like every pre processing steps like why i'm doing it in the document so that it is clear, like every like data mining and also have just prepare that document."
00:09:04,00:09:06," says Oh, I thought i'll go through it."
00:09:07,00:09:08, yeah see.
00:09:08,00:09:12," There is no standard logic, I mean I need, but as a data scientist."
00:09:13,00:09:27," You have free will basically in any organization as a data scientist, if you are hired right, you have a free will to look into all the aspects of the business and identify into the areas where there is a problem."
00:09:27,00:09:32," Okay, so it's like yes so."
00:09:33,00:09:34, look good good.
00:09:34,00:09:46," is essentially a good objective so, is it sufficient if we can just try to minimize and maximise like what do you want to minimize and what do you want to maximize because you said, like octave optimize terminology should be there should be like very short."
00:09:47,00:09:53," Okay, it is, it is see it is not mandatory, that you have to have them, it is recommended that you need to."
00:09:54,00:09:59," Okay, but it's like we don't have to give elaborate view of the objective right it's just that was."
00:09:59,00:10:05, Not an objective is short crisp and optimization terminologies are recommended.
00:10:05,00:10:10," Okay right, you might also want to explain what exactly you're trying to achieve."
00:10:11,00:10:14," Okay, does this right a statement for."
00:10:14,00:10:17, evaluator as a viewer if I see that statement.
00:10:17,00:10:20, I may not be able to understand what what you're trying to do.
00:10:20,00:10:22, Because I have not researched on the data right.
00:10:23,00:10:23," Yes, you."
00:10:23,00:10:25, have to give an explanation also so.
00:10:25,00:10:27, That it is clear for the person who's reading.
00:10:28,00:10:38," Okay, so what exactly i'm doing on the data like beat anything that work at analytics or you know distance and delay relation whatever we're planning to do, I can just put it in that document."
00:10:39,00:10:40, So just explain.
00:10:41,00:10:43," Yes, yes, yes intimately you have to."
00:10:44,00:10:47, give some insights to the business or the management.
00:10:47,00:10:50," Okay, they can do better was."
00:10:51,00:10:56," Okay last thing can be done dimension reduction can be done, like you said network analytics can be done."
00:10:56,00:11:00," Yes, right and then classification models are there."
00:11:00,00:11:01," Yes, okay."
00:11:02,00:11:04, Okay okay so okay so.
00:11:07,00:11:14," Okay, so we're talking about this classification models and here we have voting stacking bagging and staying."
00:11:16,00:11:19, right here under bagging again we discussed about.
00:11:22,00:11:23, Something.
00:11:24,00:11:26," Which is very, very."
00:11:28,00:11:31, efficient way to build things which is random forest.
00:11:33,00:11:37," The difference here is, we will take a sample data which is."
00:11:38,00:11:46," smiling bike capital m, this is your sample data for batty but for random forest, we will take subset of features as."
00:11:48,00:11:49, Good that's the difference.
00:11:52,00:11:55," Okay bad, there are no for us, this one variant of."
00:11:56,00:11:58, Then we'll talk about boosting.
00:12:00,00:12:01, Under boosting we have.
00:12:03,00:12:04, Added boosting.
00:12:06,00:12:15, Then gradient descent and gradient boosting and then we have extreme gradient boosting and these models.
00:12:16,00:12:20, That try to minimize the error.
00:12:21,00:12:25, By taking the models sequences by training the model sequence.
00:12:26,00:12:31, Here we take multiple sub samples and do training parallel.
00:12:32,00:12:36, that's the difference between boosting and bagging techniques.
00:12:39,00:12:41, So this is what we discussed Taylor.
00:12:43,00:12:44," Now, if I talk about."
00:12:45,00:12:48, Right being numeric piece.
00:12:49,00:12:51," Okay, why is numeric."
00:12:54,00:12:55, If this is the case.
00:12:57,00:12:57, Then.
00:12:59,00:13:02, We will try to go with something called as regression.
00:13:04,00:13:11," But before I go ahead and deal with regression models, you need to try and understand certain things that that we discussed in the initials."
00:13:15,00:13:17, So when I say why numeric.
00:13:19,00:13:30," Why can be continuous or discrete okay numeric data can be continuous our district, we will now stick to the continuous case okay."
00:13:35,00:13:36, If I is continuous.
00:13:38,00:13:41, Then there are certain properties you remember this properties.
00:13:44,00:13:53," Yes, so I think it is mobility should be equal to zero always range will be like between minus infinity plus infinity."
00:13:55,00:13:59, And I think he area undercover will be equal to one and.
00:14:01,00:14:02,Something.
00:14:05,00:14:06, yeah this is.
00:14:06,00:14:09, This mean mean median and mode or equal.
00:14:10,00:14:11, know that is when you have submitted the curves and.
00:14:12,00:14:14, All that that is normal distribution okay.
00:14:14,00:14:16, we're only talking about continuous case.
00:14:17,00:14:18, Okay okay So yes.
00:14:18,00:14:22," Okay, of course, normal distribution and all that are our."
00:14:23,00:14:24, Next steps.
00:14:26,00:14:32," Okay, so if I have output variable y which is continuous in nature."
00:14:33,00:14:46," Then, these are the important properties that we have to remember minus infinity plus infinity probability of identifying any single number is always being equal, to zero and area under the curve is always equal to one."
00:14:47,00:14:48, click now.
00:14:52,00:14:57," let's say, am I asking you to predict something when something."
00:14:59,00:15:02," Okay, for example, months."
00:15:03,00:15:10, In the classification scenario we identified whether the student will pass or.
00:15:11,00:15:11, fail.
00:15:13,00:15:20," Okay, good I didn't define whether the student will be passing or failing, so this is non numeric it."
00:15:23,00:15:25, will apply classification model.
00:15:26,00:15:32, But here we are talking about identifying the exact marks which is numerical.
00:15:34,00:15:38," Now, if you apply a model and try to predict that so you're predicting okay whenever."
00:15:40,00:15:48, you're saying for a student the marks will be let's say 85% that the student is getting 85% marks.
00:15:50,00:15:51, If this is the case.
00:15:54,00:15:54, Right.
00:15:57,00:15:58, I mean if you're predicting.
00:15:59,00:16:03, What is the chance that the student is actually getting a defect marks.
00:16:06,00:16:07,yeah.
00:16:14,00:16:17, What is the chance that the student is actually getting 85%.
00:16:23,00:16:23, anyway.
00:16:27,00:16:30, let's say i'm predicting the marks for you.
00:16:31,00:16:35," i'm saying that you will get a difference, what is the chance that you will actually getting a difference."
00:16:38,00:16:45, If you don't know the student and probably percentage is anything out of hundred right so 285 is only a one number.
00:16:48,00:16:55," If you are taking in terms of decimal points like 85 point, probably to be one by infinity which is like we cannot predict zero but."
00:16:57,00:16:59, If you are considering it as though yes.
00:16:59,00:17:02, We are talking about marks which is.
00:17:02,00:17:04," Continuous, then it is zero so."
00:17:04,00:17:14," Exactly, then it is you know, the chances zero, then why the hell i'm doing prediction if I know that the student is not going to get 85%."
00:17:16,00:17:19, That means whatever i'm predicting is wrong isn't it.
00:17:21,00:17:30," These are the properties right for continuous data, these are the properties and and trying to predict the value, which is continue as and we are saying that the chance of the value zero."
00:17:32,00:17:34, Then the prediction.
00:17:34,00:17:44," If you have historical data in the historical data like we can see that the student has like previously got like a lot of 85% ages, then we can try it in that way."
00:17:45,00:17:46, But we are dealing with.
00:17:46,00:17:48, population data here we're not dealing with.
00:17:48,00:17:55," subset of data if it is a subset of data, then it becomes discrete, it is not continuous anymore, yes."
00:17:56,00:18:08," There are fixed values right So if you have hundred samples and hundred records that means you know exactly what is the value, so it becomes discrete if discrete there is no problem, we can do the right prediction classification models have been taught."
00:18:11,00:18:12," That understanding, where i'm going here."
00:18:13,00:18:13," Yes, yes."
00:18:15,00:18:17, So for a continuous data.
00:18:18,00:18:20, How can I predict a single number.
00:18:21,00:18:32," Right, because we are seeing the probability of a single number exit identify a single number on this infinity scale is zero."
00:18:34,00:18:44," So how do I deal with it the continuous Dudes that that is all about this logic that were trying to understand, yet scholars confidence interval."
00:18:45,00:19:02," So, to start with continuous data, these are the three important properties that we discussed right area is equal to one property of a single number is equal to zero, and the range lies from minus infinity plus infinity if I extend this that Okay, these are."
00:19:04,00:19:05, The data is actually normal.
00:19:06,00:19:06, I mean.
00:19:07,00:19:14, they're not assuming that there is any abnormalities then it also has these two properties mean median equal to more.
00:19:15,00:19:23, And then area is symmetric the curve asymmetric right and we also discuss normal distribution properties.
00:19:25,00:19:30, Where the characterization of the bell shaped is done using these two.
00:19:31,00:19:34," Right values, new and Sigma first moment and second."
00:19:38,00:19:40, And we've also discussed about standardization.
00:19:43,00:19:51, X minus meal by Sigma This is basically trying to transform the X values to the values.
00:19:52,00:19:55, That we have we're moving the experiments to see by.
00:19:56,00:19:57, Training.
00:19:59,00:20:04," So these are all things that we have discussed, and of course we've also said that the."
00:20:06,00:20:09, compassion right any data which is.
00:20:10,00:20:14, Continuous has to be assumed that it is normal.
00:20:16,00:20:20, But is it actually normal is verified using normal qq plot.
00:20:22,00:20:32, Right and the Z values and the sample data should have identical distribution similar distribution.
00:20:33,00:20:34, If you do that.
00:20:36,00:20:39, You get a straight line and straight line basically means.
00:20:41,00:20:43, That the days normally is to be dead.
00:20:45,00:20:46, These are all things we discussed right.
00:20:48,00:20:48," Okay, remember."
00:20:53,00:20:54, Okay know.
00:20:55,00:21:06," Why, we are learning all these things, let us try and do a small example of doing prediction first how this prediction book right, so let us do the prediction."
00:21:08,00:21:12, Then we will see the application of that right prediction calculations into another exam.
00:21:15,00:21:18," So here, I want to take a small data set."
00:21:23,00:21:27," Okay, this is the data set so we are looking at the gmat score."
00:21:29,00:21:30, Okay.
00:21:30,00:21:31, So one note.
00:21:32,00:21:33, Here good good good.
00:21:34,00:21:46," Actually, like therapy on the continuous data you're predicting students marks that the probability of your student getting 85% would be zero like if we have continuous data."
00:21:47,00:22:01," And if we have, like previous historical data like not particularly about the student but till now, some population data like based on the attributes like new record similarity with the old records, we can get the actual day like we can predict the percentage rate."
00:22:02,00:22:04, So that is similarity read it is not prediction.
00:22:06,00:22:14," Okay, like normal machine learning algorithms for a supervised learning like that is what we have done by numeric."
00:22:16,00:22:17," numeric data, we are not seeing."
00:22:18,00:22:20, The regression regression models.
00:22:20,00:22:23," that's what we are going, we have not done that regression model yet."
00:22:23,00:22:23,Oh.
00:22:25,00:22:29, This world on let's let's discuss this here you got to know oh.
00:22:30,00:22:30, yeah.
00:22:30,00:22:32, So let me load the data set.
00:22:32,00:22:32,here.
00:22:34,00:22:40," i'm talking about this specific gmat score state Okay, let me do histogram."
00:22:46,00:22:49," yeah G man, this is the is to go."
00:22:52,00:22:53, Which is histogram.
00:22:55,00:23:00, And the curve is basically left skewed.
00:23:01,00:23:02, Okay.
00:23:03,00:23:03, Now.
00:23:05,00:23:06, Given this case.
00:23:08,00:23:08, Right.
00:23:09,00:23:11," Remember, whatever data, we are working is always."
00:23:16,00:23:18, Given this sample data.
00:23:19,00:23:24, Can I make some strategies and applied for the university for admissions.
00:23:26,00:23:32," And we've already discussed that because of the ship, we can conclude that the students right is left skewed us."
00:23:32,00:23:45," Because of the shape or left skewed behavior, we can clearly say that the examination was fairly easy to see, and that is the reason why we have not have basically people scoring high marks."
00:23:47,00:23:47,Okay.
00:23:49,00:23:49, Now.
00:23:51,00:23:53, Given this case let's say.
00:23:54,00:23:57, You want to come up with strategies for admission.
00:24:00,00:24:02, Get students admission this year.
00:24:04,00:24:05, Right.
00:24:07,00:24:13, So each university will have their own strategies for admission right.
00:24:14,00:24:21," Given this data, what What would you basically come up with what is the plan that you will come up for."
00:24:24,00:24:24, Getting the.
00:24:26,00:24:27, I should say.
00:24:29,00:24:32," The admission strategy right, what does the education strategy that."
00:24:39,00:24:42," yeah guess what what strategies, would you want to."
00:24:49,00:25:04," We can say is the exams over then make it, we can set the cutoff like depending on the market, which we can see my histogram like the peak like where it is a number of candidates, we we want to take for the university, we can set a cut off."
00:25:06,00:25:16," Very good, very good lifted another seats weekend and you have to basically free them up, and there are 773 students who have."
00:25:19,00:25:20, students who have.
00:25:22,00:25:25," Written the exam sample data, this is sample data we have."
00:25:27,00:25:30," Okay, and we also looked into."
00:25:31,00:25:41," What is the minimum, what is the maximum maximum is seven at memon minimal mistakes and you can see that in the X axis good."
00:25:43,00:25:44," Okay, so admission."
00:25:45,00:25:54," Then you have certain serendipity students minimum maximum we have mean, and we also have standard deviation as well."
00:25:57,00:26:01, It means is 711 standard deviation is 20.
00:26:02,00:26:05," So, because I know the data we are coming up with all these PICs."
00:26:09,00:26:09, Right now.
00:26:14,00:26:23," If I have to let's say this is one of the universities that you are working as a team, you have to come up with the strategies, then that university will have some standard."
00:26:24,00:26:34," So you not ella every student who has written the exam Center is a qualification well, so all those people qualified for higher education so are there."
00:26:35,00:26:36, Right.
00:26:38,00:26:44, As a university right you don't want everyone to enter into your you could have cut off.
00:26:46,00:26:48, Another question is what will be the cutoff.
00:26:56,00:26:58, get what will be the backup.
00:26:59,00:26:59, How much.
00:27:00,00:27:01,You put us kind of.
00:27:05,00:27:09," Or maybe depending on the top Marco thing by students, like some."
00:27:10,00:27:13, Top 10% or 90% of the students will be alone and.
00:27:14,00:27:17, have to be very specific top 10 or 20.
00:27:17,00:27:17,yeah.
00:27:20,00:27:25," it's not there, then we can like see like based on the ranking like the top hundred."
00:27:26,00:27:28," Exactly Okay, this is only sample data."
00:27:30,00:27:30, Okay.
00:27:32,00:27:33, You have to generalize district.
00:27:45,00:27:47, Okay top 10 top 20 that is good.
00:27:48,00:27:49, That strategy is good.
00:27:51,00:27:51, let's do that.
00:27:53,00:28:10," So, in order to decide see again, we are trying to be specific, with respect to the idea, not with respect to the values right optimization techniques basically talk about the idea being optimized and the best result can be captured."
00:28:11,00:28:17," result will not be fixed it will change, based on the factors that we are considered okay."
00:28:18,00:28:20, So if I say cut off.
00:28:22,00:28:22, Okay.
00:28:23,00:28:23, Then.
00:28:25,00:28:28, What should be the ideal cutoff for this year.
00:28:31,00:28:37," Right, because the data is from the CSM and the the sample data that we're looking at is for the CSM."
00:28:39,00:28:40, So if I see.
00:28:44,00:28:48, 625 is the cutoff then is this going to be a good quarter.
00:28:49,00:28:55, Because cut off means we are trying to filter out those poorly performed students.
00:28:57,00:29:05," right and as a university, you might have 625 or you might also have six at as your standard."
00:29:06,00:29:07, So seats at.
00:29:08,00:29:08, This no.
00:29:08,00:29:09, No it's not.
00:29:10,00:29:15," A very good cut off no Sir, because there are a lot of students who are have done very well."
00:29:16,00:29:20, And like if the universities are top grade university then.
00:29:21,00:29:24, The cutoff should be like probability probably higher.
00:29:24,00:29:29, let's say this is the university which isn't top 10 top 10 books okay.
00:29:31,00:29:32, i'm impressed us.
00:29:33,00:29:34," Okay, should we."
00:29:34,00:29:39," should be higher, because many students have done and."
00:29:39,00:29:44," The question is, if you're putting six APS, the mind."
00:29:45,00:29:51," Then, what is the percentage of the students who are getting eliminated marks."
00:29:51,00:29:53, Fine you're seeing from 600.
00:29:53,00:30:07," To seven ad, this is the range and you're seeing success, it should be the cut of that means anyone who scored greater than six he will be qualified anything, who has less is disqualified very good, but how many people you are going to filter out."
00:30:10,00:30:15, hey What if your graph is like this if you say six at.
00:30:16,00:30:18, don't you eliminate a lot of people.
00:30:21,00:30:23," The 6600, and this is 785."
00:30:24,00:30:39," Difficult examination, so in that key is a lot of students who scored around around about 680 or less so the percentage of the students who get eliminated is going to be very high here."
00:30:40,00:30:41, Right and.
00:30:41,00:30:43, If this is the case.
00:30:45,00:30:53," If this is the case and if I say six at here very, very limited very small number of students are getting filtered."
00:30:54,00:30:56, It means a lot of people are still available.
00:30:57,00:30:58, isn't it.
00:30:59,00:31:11," So you have only limited seats hundred hundred seats are available, so if I to six ad Am I filtering out a good amount of students or not."
00:31:14,00:31:15," Right, I said top."
00:31:15,00:31:19, 10 right Mona Lisa i'm assuming a lot of students are applying.
00:31:22,00:31:25," Right top 10 universities, a lot of people will have."
00:31:27,00:31:35," So the decision from the management has to be checked again every year, based on the distribution of the data."
00:31:36,00:31:53," Okay, if the examination is easy at this is the kind of distribution, you will see in this case the cutoff could be somewhere here if the examination was very difficult, then obviously a lot of students will score less mark so you're cut off should probably be around this way this space."
00:31:55,00:31:59, So that you give majority of the people right the apple logic.
00:32:00,00:32:07," That the logic is you, you allow a lot of students, good quality students to apply for the university."
00:32:08,00:32:11," Now, can you tell me if I choose six at."
00:32:12,00:32:15, How much percentage of students are getting eliminate debt.
00:32:28,00:32:33, So if I have to get back remember area under the curve is one so we're basically saying.
00:32:35,00:32:36, This is the bell curve.
00:32:40,00:32:43, And i'm interested in this area.
00:32:46,00:32:49, Okay i'm interested in this potion.
00:32:53,00:32:57, know how do I calculate area under this curve.
00:32:59,00:33:01, Because remember how do we calculate area.
00:33:11,00:33:15," Yes, how many of you actually remember calculus integrations."
00:33:23,00:33:24, So this is.
00:33:29,00:33:32, This is upper limit 680.
00:33:33,00:33:34, And then I say fix.
00:33:37,00:33:39, This is a representation right.
00:33:45,00:33:48," But the point is, what is the equation, we have the equation given."
00:33:52,00:33:54," Well, so actually that's what I was thinking."
00:33:55,00:33:56, Exactly and.
00:33:57,00:34:00, Another challenges for every time the data chain.
00:34:00,00:34:06," Is, we have to get the equation again done right this entire area has to be calculated."
00:34:07,00:34:21," So for every small or big change, you will have to do a lot of mathematical calculations and there are so many different right continuous variables and for all of them, you don't have this equation equation was given fine can do that."
00:34:23,00:34:25, So what is the alternative yet what can I do.
00:34:29,00:34:39," So here in order to capture the area under the curve, we will now comes the normal distribution guys, this is the application of normal distribution Center."
00:34:40,00:34:43, We are verifying i'm raising all this.
00:34:44,00:34:46,"stock, let me just erase all this."
00:34:48,00:34:49, unwarranted thanks.
00:34:50,00:34:52," Alright, so we're talking about."
00:34:56,00:34:58, Normal distribution.
00:35:01,00:35:03," Why, because this is continuously."
00:35:05,00:35:14," Of course, you know, to verify using normal qq plot or not yeah sooner than that and data is normally distributed to your G man data is normally distributed."
00:35:18,00:35:21, If this is normally distributed.
00:35:23,00:35:23, Right.
00:35:25,00:35:29, Then I can try to map it with Z scale.
00:35:32,00:35:36, isn't that means i'm trying to do standardization.
00:35:39,00:35:40, I can do that right.
00:35:45,00:35:50," Normal distribution G man, and then we are talking about standardization."
00:35:52,00:35:56," I can do the standardization, because you might as normal distribution, remember that."
00:35:59,00:36:02, So for every corresponding gmat score.
00:36:04,00:36:07," For every corresponding gmat score, we will have a corresponding value nz."
00:36:09,00:36:15," But this is new and this is new, which is equal to zero, this is 711."
00:36:16,00:36:21, And the standard deviation yet on see we have Sigma as one.
00:36:23,00:36:25, Whereas on G matt the Sigma was 20.
00:36:27,00:36:29, So i'm trying to map like.
00:36:31,00:36:38, We are trying to find out the area under the Belka for six a D.
00:36:39,00:36:54," So what is the corresponding Z value for 686 80 minus newest 711 Sigma is 29 these are standard values we already know data, so we can."
00:36:55,00:37:15, Get yeah can anyone tell me what is this reserve six at minus seven seven by 29 i'm taking the time to.
00:37:26,00:37:28, pick C D minus seven.
00:37:31,00:37:32, minus 1.06.
00:37:34,00:37:35, minus 1.06.
00:37:37,00:37:38, degrees.
00:37:38,00:37:40,minus 1.6.
00:37:42,00:37:56," hey so for X value that is Jim add value to succeed if I have to compare that with Z then on Z we have minus 1.6 right, but what is the."
00:37:58,00:38:00, Z is this standard.
00:38:03,00:38:05, which follows normal distribution of course.
00:38:07,00:38:08, Because it is standard.
00:38:09,00:38:13, It has certain property static properties right standard properties.
00:38:14,00:38:15, If it is standard.
00:38:18,00:38:23, Then statisticians right can also do a lot of calculations.
00:38:24,00:38:27, Because it has certain properties doesn't change so.
00:38:28,00:38:34, Using this logic statisticians have calculated.
00:38:35,00:38:45," area under the curve for different different Z values, because why Jesus symmetrical curve at the Center you'll have zero."
00:38:46,00:39:04," So I will be able to calculate the area under the curve this entire area under the curve is one but for a specific value what is it specific value what is it right, so these kind of calculations are already done, and they are stored in something called lessons Z table."
00:39:07,00:39:09, So let us look into the Z table here.
00:39:11,00:39:12, Let me minimize this.
00:39:22,00:39:28, There is excluded it empties Z table remember this is a standard so fixed.
00:39:30,00:39:30, This thing will be.
00:39:32,00:39:32, The table.
00:39:34,00:39:36, We are trying to verify.
00:39:39,00:39:43, But this the table as we discussed is actually carry.
00:39:45,00:39:45, This Bush.
00:39:48,00:39:50, left side portion.
00:39:51,00:39:52, From see.
00:39:54,00:39:55, I could do the calculations.
00:39:59,00:40:00, Because it is standard right.
00:40:02,00:40:07, So using this concept we are trying to now do the calculation for.
00:40:09,00:40:09,60.
00:40:11,00:40:16," Zero minus 1.06 you guys did that calculation, this is the Z table."
00:40:18,00:40:19," happening, the link in the."
00:40:20,00:40:28, chat zoom chat you can just open it it doesn't the website it just search for 316 digit n g.com slash CT but you'll get this.
00:40:30,00:40:32, So when when we look at this.
00:40:35,00:40:36, I will have.
00:40:38,00:40:41, Z values on first corner.
00:40:43,00:40:47," And you can see, the rules each show is speaking about one different Z value."
00:40:50,00:40:57," And the second decimal value this is with respect to first assessment, but the second decimal values are expressed in barrels."
00:41:00,00:41:03," Okay, so we need minus."
00:41:04,00:41:09, 1.06 so how minus one yet.
00:41:11,00:41:14, minus 1.0 and 06.
00:41:15,00:41:16, that's that's what we're trying to get.
00:41:18,00:41:20, So minus one is here.
00:41:21,00:41:26, And the second step disabled 06 right bring them together.
00:41:29,00:41:38, I get 0.1446 if I multiply this with hundred i'll get 14.46%.
00:41:41,00:41:45," Now, from a university perspective if you are applying cutoff."
00:41:46,00:41:48, Are you willing to lose.
00:41:52,00:41:53,say.
00:41:54,00:41:57, Are you willing to lose 15% of the students.
00:42:01,00:42:02, That that's The point of this.
00:42:04,00:42:09, they're trying to see if you can lose 15% of the students.
00:42:11,00:42:17, If you if your management says no 15% is very big number I don't want to do so many people.
00:42:18,00:42:24," Then, probably, you might want to reduce the society to a smaller value 60 or 70 years 75 whatever that is."
00:42:27,00:42:27, Right.
00:42:33,00:42:35, So if I say 660.
00:42:37,00:42:39, yeah can you guys tell me.
00:42:40,00:42:59," What will be the percentage of students who get filtered out if you choose the math to be less than 665 let's say 660 yeah because the minimum oxen 600, so I would try to see if it is 665."
00:43:03,00:43:09," yep, then what is the percentage of students, that we are using yeah."
00:43:11,00:43:12, Do the calculation of.
00:43:12,00:43:37, 10 minus 1.58 so we have to check for like minus 1.5.
00:43:40,00:43:43, And the minus 1.5 and it so.
00:43:45,00:43:45, Yes.
00:43:47,00:43:51, So it's these 7.1% is it.
00:43:52,00:43:52, Is a.
00:43:52,00:43:56, high point sorry 5.5 point 7%.
00:43:57,00:44:01," Okay, to side with did everyone get minus 1.58 as a calculation for Z."
00:44:03,00:44:08, So we were basically having X from this X we're trying to calculate Z.
00:44:09,00:44:17, How by using the formula X minus MU by Sigma I already mentioned newest to 11 Sigma is 29.
00:44:21,00:44:24, yeah did everyone get the same result minus 1.58.
00:44:27,00:44:28," If yes, then good."
00:44:30,00:44:32," After this, we are looking at."
00:44:33,00:44:34, The table.
00:44:37,00:44:41," And we try to find out the value, which is right falling on that specific ad."
00:44:43,00:44:52, 05717 to 11 you have written.
00:44:53,00:44:54, It was 711.
